,ID,task,block,trial,fiksacja3,fiksacja3_dur,fiksacja,fiksacja_dur,stimulus_type,stimulus,duration_type,duration,maska,maska_dur,fiksacja2,fiksacja2_dur,beh_response,response_dur,button,accuracy,accuracy_RT,pas_response,pas_response_dur,PAS,PAS_RT
5698,dc1_28,low,1,37,350.6122,3.0094,353.6216,1.7399,sn9,355.3615,dur1,0.0118,355.3733,0.2468,355.6201,6.0073,361.6391,1.5165,41.0,1.0,405.9,363.1674,1.3401,1.0,639.8
5699,dc1_28,low,1,38,364.5075,2.0102,366.5177,1.7399,sc9,368.2576,dur1,0.0118,368.2694,0.2468,368.5162,2.0103,370.5382,1.5165,51.0,0.0,366.5,372.0665,1.3401,2.0,563.5
5700,dc1_28,low,1,39,373.4066,2.0103,375.4169,1.7398,mn3,377.1567,dur3,0.0823,377.239,0.2469,377.4859,4.0087,381.5064,1.5165,54.0,0.0,293.4,383.0346,1.3402,2.0,416.5
5701,dc1_28,low,1,40,384.3748,3.0095,387.3843,1.7398,mc7,389.1241,dur3,0.0823,389.2064,0.2469,389.4533,2.0102,391.4753,1.5165,44.0,1.0,345.8,393.0035,1.3402,3.0,274.9
5702,dc1_28,low,1,41,394.3437,1.011,395.3547,1.7399,mc7,397.0946,dur2,0.047,397.1416,0.2468,397.3884,2.0103,399.4104,1.5165,44.0,1.0,410.0,400.9387,1.3402,3.0,269.2
5703,dc1_28,low,1,42,402.2789,3.0094,405.2883,1.7399,mn7,407.0282,dur2,0.047,407.0752,0.2469,407.3221,2.0102,409.3441,1.5165,41.0,1.0,396.7,410.8723,1.3402,1.0,919.7
5704,dc1_28,low,1,44,422.1344,2.0102,424.1446,1.7399,sn1,425.8845,dur4,0.1528,426.0373,0.2469,426.2842,6.0072,432.3031,1.5165,41.0,1.0,328.2,433.8314,1.3401,2.0,423.4
5705,dc1_28,low,1,47,452.9698,2.0102,454.98,1.7399,sn1,456.7199,dur3,0.0823,456.8022,0.2468,457.049,6.0073,463.068,1.5165,41.0,1.0,425.7,464.5963,1.3401,2.0,294.5
5706,dc1_28,low,1,48,465.9364,2.0103,467.9467,1.7398,sc3,469.6865,dur2,0.047,469.7335,0.2469,469.9804,2.0103,472.0024,1.5165,51.0,0.0,575.6,473.5307,1.3401,1.0,245.6
5707,dc1_28,low,1,49,474.8708,3.0095,477.8803,1.7399,sc7,479.6202,dur4,0.1528,479.773,0.2469,480.0199,4.0087,484.0403,1.5165,44.0,1.0,365.1,485.5686,1.3401,2.0,293.5
